day,wake_time_min,sleep_start_min,screen_after_wake_min,prep_min,commute_min,arrival_time_min,late
Thu,570,123,0.0,21.5,6.4,594.8,1
Wed,479,125,2.5,43.1,13.6,521.2,1
Fri,444,15,45.8,31.1,0.0,506.4,1
Wed,323,1220,1.5,45.6,10.0,385.4,0
Fri,498,19,2.2,34.2,11.0,536.5,1
Wed,270,1314,12.9,29.7,32.3,346.5,0
Fri,545,105,2.7,20.0,4.3,561.6,1
Mon,570,173,4.7,30.3,8.8,604.6,1
Wed,430,94,47.8,28.1,10.9,490.5,1
Thu,274,1332,2.2,27.3,2.7,309.3,0
Fri,270,28,18.9,33.7,4.1,318.3,0
Fri,570,28,2.0,10.5,0.0,569.3,1
Mon,464,29,3.3,36.9,22.8,527.0,1
Wed,270,1276,4.2,34.2,13.6,318.4,0
Wed,442,36,15.2,14.9,46.8,518.7,1
Fri,570,131,0.8,32.7,35.9,648.9,1
Mon,446,13,25.3,22.7,6.1,491.8,1
Wed,284,52,0.0,25.7,10.7,323.8,0
Thu,520,54,5.1,20.4,21.0,560.3,1
Thu,426,1424,97.3,18.7,29.0,531.9,1
Mon,397,153,10.8,30.8,25.9,471.9,0
Fri,288,1362,0.0,24.4,56.1,384.6,0
Wed,270,1258,7.5,42.2,3.2,311.8,0
Tue,543,19,1.0,14.5,30.1,590.4,1
Thu,281,69,1.3,27.9,13.3,332.5,0
Wed,324,90,49.7,36.7,18.7,411.8,0
Mon,441,86,16.5,14.9,63.9,529.3,1
Mon,491,41,4.7,22.9,77.2,588.9,1
Thu,363,1271,20.7,20.5,5.7,394.0,0
Fri,427,13,6.9,6.2,5.5,443.4,0
Mon,385,44,13.8,32.9,11.2,432.6,0
Tue,532,94,5.0,7.6,71.2,615.1,1
Fri,270,1240,44.0,34.8,58.1,394.5,0
Fri,556,1435,5.4,18.5,74.2,663.6,1
Tue,289,1325,10.6,40.5,17.6,340.0,0
Thu,369,1195,12.9,6.0,8.3,394.9,0
Tue,415,1431,3.8,29.1,15.9,463.2,0
Tue,270,1329,12.3,42.1,23.7,342.9,0
Fri,270,1213,5.0,40.5,13.1,336.4,0
Tue,445,86,10.4,20.2,12.6,487.4,1
Wed,427,1406,12.9,21.6,18.5,459.3,0
Wed,444,46,2.9,25.9,25.7,491.8,0
Tue,419,1269,6.4,30.8,37.4,490.9,1
Tue,299,1243,19.3,24.6,0.0,353.7,0
Wed,570,75,8.4,19.6,33.6,643.5,1
Thu,570,113,4.0,7.3,25.0,612.2,1
Thu,542,122,3.1,17.9,25.6,591.2,1
Tue,298,91,11.0,39.1,32.3,370.2,0
Fri,564,117,7.1,29.3,12.3,595.9,1
Mon,534,78,3.3,25.0,71.3,636.2,1
Thu,564,91,1.0,24.5,49.0,643.3,1
Mon,270,1354,1.8,40.4,31.8,351.8,0
Wed,469,57,4.2,28.3,3.4,499.7,1
Wed,336,13,26.8,44.3,41.5,426.6,0
Tue,270,1266,24.0,26.5,43.1,344.9,0
Wed,570,80,3.3,22.5,31.7,636.3,1
Thu,270,1406,1.7,20.9,76.8,376.6,0
Wed,508,136,2.4,26.2,10.0,547.8,1
Mon,508,30,5.5,8.9,46.1,578.1,1
Mon,274,1255,10.0,30.4,0.0,314.5,0
Wed,270,1432,0.8,37.8,0.0,316.0,0
Fri,570,100,6.0,22.8,20.6,603.2,1
Mon,502,148,14.6,19.5,17.6,529.7,1
Mon,422,28,0.0,32.4,31.6,489.9,1
Wed,302,1399,3.9,24.3,47.7,375.9,0
Mon,303,34,13.4,23.1,15.8,346.7,0
Tue,439,1355,13.1,14.3,10.8,470.3,0
Fri,439,21,51.9,34.8,6.8,505.2,1
Tue,270,1203,14.3,39.2,0.0,332.5,0
Tue,270,1329,28.5,38.4,1.8,345.6,0
Mon,465,139,2.0,26.1,3.3,489.1,0
Fri,423,1375,11.0,24.8,40.2,497.5,1
Fri,457,1434,2.4,25.1,51.2,538.4,1
Wed,381,1381,0.3,34.3,64.2,488.5,1
Mon,560,1412,5.9,30.1,0.0,588.4,1
Thu,356,1427,8.2,46.0,5.6,425.5,0
Tue,270,1268,0.0,41.9,2.9,329.2,0
Wed,438,139,23.9,11.6,17.2,472.6,0
Thu,270,1233,39.2,35.7,1.9,351.8,0
Mon,410,110,30.4,27.3,12.9,472.6,0
Wed,435,25,32.4,29.4,12.2,483.5,1
Wed,472,121,0.3,20.4,35.2,519.2,1
Thu,517,156,0.0,20.8,13.3,550.0,1
Thu,490,149,11.1,13.8,2.4,516.8,1
Fri,270,1306,16.2,45.1,4.0,322.4,0
Thu,482,88,6.5,21.1,0.0,522.1,1
Tue,506,68,6.8,22.3,7.9,534.5,1
Tue,275,1382,13.7,36.4,39.6,365.5,0
Mon,570,66,6.0,8.9,58.0,646.4,1
Fri,460,1347,0.0,23.5,17.3,490.7,1
Thu,507,108,4.3,22.1,15.7,549.7,1
Tue,270,1290,7.3,54.6,36.2,376.5,0
Wed,570,116,0.0,6.0,39.5,638.8,1
Wed,321,1316,47.4,28.7,40.4,407.6,0
Tue,270,1381,79.2,38.4,65.0,422.0,0
Wed,413,136,113.1,14.4,27.3,527.3,1
Thu,478,145,8.3,25.0,36.4,555.5,1
Mon,270,1371,18.3,40.8,22.5,336.2,0
Fri,270,1363,18.0,34.0,0.8,336.4,0
Tue,457,98,0.0,9.1,0.0,445.8,1
Tue,333,1250,22.1,49.6,39.3,433.8,0
Tue,270,1195,1.6,44.0,9.3,322.5,0
Tue,570,123,8.5,16.7,9.1,599.3,1
Wed,346,28,22.1,25.0,5.7,391.8,0
Mon,410,1327,14.0,24.5,0.5,446.8,0
Thu,570,39,6.1,6.0,13.9,598.2,1
Fri,364,1293,28.8,22.2,22.2,440.1,0
Tue,570,100,3.0,6.0,3.6,578.8,1
Wed,432,162,23.7,20.2,12.7,480.7,1
Wed,376,152,13.2,26.6,13.7,434.8,0
Wed,270,1355,13.2,42.2,39.3,360.1,0
Wed,270,1334,1.6,25.2,47.1,341.7,0
Thu,270,1249,1.6,31.7,16.9,328.2,0
Thu,452,65,4.7,12.1,13.4,494.5,0
Mon,570,131,0.1,9.9,62.0,644.7,1
Thu,467,19,3.1,32.5,40.7,540.3,1
Tue,374,56,24.6,37.1,41.1,457.3,0
Thu,270,1278,11.9,36.1,15.4,336.7,0
Mon,514,190,1.7,8.7,19.6,538.5,1
Thu,495,2,4.3,30.9,35.4,577.6,1
Thu,510,120,2.1,24.1,31.9,579.9,1
Tue,342,1433,5.6,27.2,3.0,375.4,0
Fri,306,1346,9.7,35.5,6.1,343.9,0
Mon,296,1390,7.2,35.0,4.3,339.3,0
Mon,270,1229,20.6,29.0,17.6,326.3,0
Thu,473,18,3.7,17.1,30.6,527.3,1
Thu,360,1370,8.9,32.6,9.6,401.9,0
Tue,270,1385,4.8,38.0,52.2,362.2,0
Mon,474,12,8.1,23.8,8.4,524.5,1
Tue,310,1217,4.6,29.1,10.6,361.8,0
Mon,564,1,0.7,22.7,21.7,603.7,1
Mon,270,1323,24.6,36.4,25.2,335.3,0
Thu,419,84,0.0,18.3,17.6,461.2,0
Wed,270,1187,42.1,32.0,33.7,364.8,0
Thu,340,1199,12.1,34.5,14.7,392.1,0
Thu,338,114,2.4,35.3,15.2,380.7,0
Fri,570,88,0.0,6.0,22.3,604.1,1
Mon,467,92,3.5,19.6,21.1,513.8,1
Wed,270,1197,47.3,37.2,6.6,341.7,0
Mon,311,1314,43.3,36.5,90.7,465.4,0
Fri,270,41,0.0,41.8,59.2,383.9,0
Mon,566,126,6.3,24.0,6.8,602.3,1
Mon,270,1215,10.9,27.5,10.9,322.7,0
Fri,373,1235,9.7,34.8,18.7,424.3,0
Mon,520,156,1.4,15.7,12.0,546.8,1
Wed,570,75,8.1,18.7,0.6,597.3,1
Fri,364,1437,0.1,33.3,20.3,421.6,0
Mon,335,94,30.8,26.1,17.2,411.2,0
Mon,346,1347,12.2,38.9,14.0,423.7,0
Mon,291,1212,71.2,33.8,0.0,380.4,0
Tue,270,1305,0.8,32.3,13.5,320.5,0
Thu,569,1438,4.8,8.7,4.9,593.7,1
Wed,425,1333,0.0,22.6,6.8,448.1,0
Wed,450,28,4.4,28.7,15.7,496.6,0
Mon,270,1332,4.4,41.9,24.4,338.0,0
Tue,369,166,48.2,27.7,17.5,434.5,0
Fri,570,97,2.7,12.6,15.4,610.8,1
Wed,300,1342,5.9,34.6,5.7,340.2,0
Mon,270,1252,82.0,33.8,46.2,404.9,0
Thu,412,1432,11.1,35.6,9.7,464.2,0
Thu,270,1256,13.9,18.9,78.0,371.0,0
Thu,570,137,4.9,6.0,39.4,616.0,1
Mon,276,1246,24.2,32.2,1.4,336.7,0
Mon,456,140,6.3,32.9,56.3,565.4,1
Thu,486,58,0.0,21.0,24.4,529.3,1
Tue,560,97,1.3,23.4,17.7,601.6,1
Wed,325,28,5.7,29.9,8.2,346.2,0
Fri,272,55,0.0,21.7,2.3,296.4,0
Thu,409,72,13.5,43.0,64.0,539.7,1
Wed,388,23,3.9,23.7,12.3,428.8,0
Fri,570,157,0.0,9.1,23.7,609.3,1
Thu,420,122,8.0,21.2,27.9,472.8,0
Mon,416,74,10.2,31.5,26.8,459.2,0
Wed,399,1419,0.1,25.0,51.9,470.0,0
Wed,274,31,11.5,40.6,38.4,360.1,0
Tue,504,92,3.9,46.8,59.5,613.0,1
Tue,380,125,43.7,34.7,48.3,498.8,1
Thu,298,22,19.4,35.3,24.5,377.7,0
Wed,270,1344,13.0,36.8,78.0,389.9,0
Thu,570,121,1.8,21.4,20.9,615.9,1
Fri,270,1309,1.9,38.9,6.6,326.6,0
Thu,401,1,0.0,22.1,47.1,468.5,0
Tue,353,1409,14.2,31.7,28.4,431.2,0
Thu,562,104,6.0,17.9,55.8,632.8,1
Mon,417,1423,22.5,36.7,82.1,547.1,1
Mon,270,1369,23.1,26.7,20.8,350.0,0
Fri,393,1336,2.5,24.9,79.7,501.3,1
Mon,409,60,7.7,6.0,49.1,471.3,1
Fri,570,123,4.4,33.6,3.7,608.1,1
Tue,304,66,7.9,33.2,21.7,364.6,0
Thu,270,1301,39.0,44.4,12.4,360.4,0
Tue,570,96,4.6,6.0,9.1,590.1,1
Mon,270,1358,71.3,37.8,12.2,354.6,0
Tue,356,1386,1.1,36.7,20.6,413.3,0
Thu,564,178,4.2,10.3,14.0,604.1,1
Thu,542,10,3.4,16.7,0.0,558.6,1
Wed,304,71,0.5,38.7,39.0,401.6,0
Thu,339,1230,18.6,30.6,25.3,403.4,0
Wed,421,32,6.4,18.7,6.5,448.3,0
Fri,502,1432,0.0,21.4,19.6,539.0,1
Wed,281,42,4.3,35.8,39.5,353.7,0
Mon,420,1369,25.1,34.9,10.5,471.7,0
Tue,325,1280,5.8,40.1,19.1,380.6,0
Mon,270,1306,3.6,34.9,17.7,335.3,0
Wed,338,1430,0.0,30.4,8.1,388.3,0
Fri,270,1334,32.6,40.9,48.3,372.2,0
Fri,477,1390,4.5,23.7,0.0,500.8,1
Tue,287,1336,23.2,36.6,72.7,398.1,0
Tue,382,22,0.0,31.9,29.9,449.5,0
Fri,270,1227,2.1,17.9,38.7,323.1,0
Fri,270,1294,8.5,26.9,22.9,331.3,0
Wed,570,134,4.3,25.5,12.7,614.2,1
Tue,396,118,3.3,34.9,48.3,492.2,1
Wed,270,1210,93.5,40.3,24.9,382.3,0
Thu,570,1412,5.2,23.1,13.8,606.0,1
Wed,550,61,9.6,19.2,12.1,593.1,1
Tue,550,50,2.2,9.7,10.9,571.8,1
Mon,397,1251,25.5,26.6,10.9,444.2,0
Tue,477,10,4.7,12.9,78.6,580.6,1
Tue,483,1391,7.2,6.0,10.0,514.7,1
Tue,415,109,0.0,26.6,7.4,452.3,0
Wed,381,92,16.6,15.3,1.4,414.2,0
Wed,372,47,24.2,26.7,0.0,418.7,0
Thu,329,1296,25.7,26.4,31.2,397.7,0
Mon,506,93,0.0,20.0,19.6,542.7,1
Tue,270,1245,15.2,37.1,15.2,338.0,0
Wed,527,73,5.6,27.2,18.1,579.2,1
Thu,270,1344,0.0,34.5,20.5,327.6,0
Wed,359,35,6.8,39.4,3.7,412.2,0
Fri,570,80,7.3,35.5,9.0,624.8,1
Tue,270,8,0.0,30.4,38.1,334.1,0
Mon,507,100,5.7,14.3,8.0,524.5,1
Mon,512,62,2.7,22.7,16.1,550.6,1
Mon,551,82,2.5,11.6,27.8,598.9,1
Mon,318,1413,3.8,30.6,31.8,374.7,0
Wed,343,1263,33.1,36.1,10.0,408.1,0
Mon,494,46,0.8,22.3,20.1,542.0,1
Fri,458,1326,0.0,27.7,23.3,522.2,1
Wed,476,150,0.0,13.0,4.2,493.0,1
Fri,570,83,0.4,18.3,66.8,649.7,1
Tue,410,1365,10.7,27.0,2.7,440.1,0
Fri,270,4,6.5,29.2,14.0,327.7,0
Wed,270,1382,4.7,30.1,10.3,304.7,0
Thu,270,1186,11.8,46.7,24.4,341.0,0
Fri,483,32,0.0,18.8,32.8,541.6,1
Mon,368,30,39.2,29.1,16.7,431.5,0
Thu,534,69,2.7,18.9,13.1,561.1,1
Fri,539,43,6.1,29.4,33.7,595.4,1
Thu,270,1299,0.0,36.5,39.8,350.0,0
Tue,314,114,28.2,40.1,50.9,417.5,0
Fri,319,1246,0.0,40.9,67.4,418.5,0
Mon,410,1386,10.8,18.4,53.5,487.1,1
Thu,270,1390,0.7,34.6,8.0,312.3,0
Mon,328,1384,40.0,28.9,37.4,409.2,0
Fri,548,120,6.7,19.6,25.0,597.2,1
Wed,270,1,25.7,31.6,50.2,367.2,0
Mon,570,106,6.0,14.1,22.3,597.0,1
Mon,310,1383,7.9,8.4,46.2,375.8,0
Wed,371,1435,12.2,26.8,41.2,440.8,0
Wed,352,1325,14.8,30.7,0.0,382.5,0
Thu,440,2,10.4,33.2,31.6,514.6,1
Mon,299,1182,2.2,22.4,29.7,344.5,0
Tue,270,1225,12.6,53.1,87.0,426.8,0
Thu,496,130,4.6,18.4,2.1,506.9,1
Mon,487,151,0.0,19.5,14.9,528.5,1
Tue,288,1310,0.5,29.0,38.6,358.8,0
Wed,465,1436,0.0,31.7,16.3,516.7,1
Wed,272,1411,31.1,28.4,9.1,327.1,0
Thu,270,1294,5.1,42.9,5.5,328.5,0
Fri,354,126,11.0,8.5,6.0,374.1,0
Tue,362,87,2.9,30.0,50.3,443.8,0
Fri,570,146,4.4,6.0,9.9,578.7,1
Mon,346,1255,10.9,25.3,11.4,375.8,0
Thu,308,1335,13.1,28.2,65.9,415.2,0
Wed,270,1319,115.9,31.1,61.3,420.2,0
Wed,270,1368,11.7,30.3,11.3,318.1,0
Mon,270,3,10.0,46.1,14.3,342.8,0
Thu,570,72,0.0,17.8,36.5,629.6,1
Wed,334,1416,13.8,37.7,49.5,439.6,0
Wed,427,79,10.4,25.8,33.4,501.9,1
Tue,332,1423,9.1,15.0,10.6,379.3,0
Wed,523,104,0.0,19.2,85.5,634.6,1
Fri,412,95,35.0,13.9,11.6,456.5,0
Fri,270,1349,0.9,19.7,73.5,356.0,0
Fri,425,69,1.4,28.3,13.3,481.5,0
Wed,570,143,6.3,24.6,0.0,601.8,1
Mon,476,115,6.2,28.8,67.9,569.4,1
Mon,525,165,4.9,6.0,41.5,576.8,1
Wed,270,43,37.5,26.4,13.6,326.2,0
Tue,547,98,0.5,10.5,14.9,572.5,1
Tue,270,1232,0.0,43.3,1.8,310.4,0
Mon,417,81,2.6,21.8,5.9,432.4,0
Wed,570,124,5.6,6.0,22.3,599.5,1
Mon,398,26,5.0,27.7,49.3,476.9,1
Wed,478,45,4.8,23.5,14.3,502.8,1
Tue,425,116,3.3,25.2,50.6,508.2,1
Mon,360,64,35.4,26.4,33.1,442.2,0
Tue,430,96,39.4,26.6,13.4,499.6,1
Mon,362,4,3.8,19.2,0.0,400.6,0
Wed,380,22,13.9,38.2,2.6,421.6,0
Tue,270,1275,2.0,40.8,46.9,363.2,0
Mon,270,1412,5.7,45.1,6.5,318.3,0
Mon,376,79,118.6,25.5,36.7,515.4,1
Mon,447,68,8.1,39.6,9.8,507.2,1
Fri,270,19,12.5,37.8,4.5,316.4,0
Tue,331,1407,4.3,33.0,23.8,387.5,0
Fri,270,1320,0.0,41.0,16.6,332.1,0
Thu,336,156,29.4,45.6,14.4,418.4,0
Mon,491,120,1.5,23.0,15.5,531.4,1
Thu,440,131,26.4,22.5,23.0,497.9,0
Mon,270,1291,4.6,27.5,9.8,322.9,0
Mon,570,36,0.0,19.4,6.4,601.0,1
Tue,570,104,4.0,29.3,46.9,654.0,1
Tue,270,1318,18.2,41.0,0.0,328.1,0
Fri,570,93,0.0,6.0,5.6,583.7,1
Tue,270,1426,12.2,28.9,24.9,315.5,0
Fri,503,60,1.7,20.8,16.6,538.2,1
Thu,570,87,5.9,14.2,7.5,593.7,1
Fri,270,1334,41.0,33.1,3.9,322.0,0
Tue,380,8,2.0,29.1,53.6,460.4,0
Fri,270,1233,5.6,33.9,14.0,324.6,0
Fri,368,1262,63.7,28.5,34.3,466.8,0
Mon,270,1302,0.5,36.4,8.4,307.7,0
Thu,270,1332,11.0,32.5,36.0,340.5,0
Tue,480,1414,9.2,34.8,10.3,530.5,1
Thu,270,1248,34.3,39.7,2.7,328.2,0
Thu,499,106,0.0,15.2,7.8,511.9,1
Wed,327,104,9.8,30.3,33.6,394.5,0
Mon,308,1373,33.5,49.6,20.7,389.2,0
Fri,570,81,7.0,7.9,26.6,610.6,1
Mon,334,1204,7.4,24.2,41.8,400.4,0
Mon,490,104,0.0,11.8,14.1,502.2,0
Thu,427,39,0.0,14.4,55.0,488.5,0
Thu,345,1337,1.0,27.4,15.6,398.7,0
Wed,306,1405,7.6,33.4,54.0,405.2,0
Tue,344,36,0.0,27.9,43.4,410.6,0
